family,Category,rating,id,weights,styles,connotations,character,available_fonts
Rokkitt,serif,169,rokkitt,"100,200,300,400,500,600,700,800,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Rokkitt,RokkittVFBeta,Rokkitt-Italic"
Lexend,sans-serif,170,lexend,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"LexendGiga,LexendPeta,LexendTera,Lexend,LexendMega,LexendZetta,LexendExa,LexendDeca"
Crete Round,serif,171,crete-round,400,"['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"CreteRound-Italic,CreteRound-Regular"
Cormorant,serif,172,cormorant,"300,400,500,600,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"CormorantInfant-BoldItalic,CormorantInfant-Light,CormorantInfant-Italic,CormorantUnicase-Medium,CormorantSC-Medium,CormorantSC-Bold,CormorantGaramond-Italic,CormorantInfant-Regular,CormorantSC-Light,CormorantGaramond-BoldItalic,CormorantUpright-SemiBold,CormorantGaramond-LightItalic,CormorantGaramond-Light,CormorantUnicase-Bold,CormorantUnicase-SemiBold,CormorantGaramond-SemiBold,CormorantUnicase-Regular,CormorantGaramond-MediumItalic,CormorantInfant-SemiBoldItalic,CormorantGaramond-Regular,CormorantInfant-LightItalic,CormorantGaramond-Bold,CormorantUpright-Bold,CormorantUnicase-Light,CormorantInfant-MediumItalic,Cormorant-Italic,CormorantInfant-Bold,CormorantUpright-Regular,CormorantInfant-Medium,CormorantGaramond-SemiBoldItalic,CormorantSC-Regular,CormorantUpright-Light,Cormorant,CormorantUpright-Medium,CormorantSC-SemiBold,CormorantInfant-SemiBold,CormorantGaramond-Medium"
Alata,sans-serif,173,alata,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Alata-Regular
Encode Sans,sans-serif,174,encode-sans,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"EncodeSansSemiCondensed-Bold,EncodeSansCondensed-Regular,EncodeSansSemiExpanded-ExtraBold,EncodeSansSemiCondensed-Medium,EncodeSansCondensed-SemiBold,EncodeSansSemiExpanded-Thin,EncodeSansSemiExpanded-ExtraLight,EncodeSansSemiExpanded-Bold,EncodeSansExpanded-ExtraLight,EncodeSansSemiCondensed-Black,EncodeSansExpanded-SemiBold,EncodeSansSemiCondensed-Thin,EncodeSansExpanded-Black,EncodeSansSemiExpanded-Black,EncodeSansCondensed-Thin,EncodeSansCondensed-Black,EncodeSansSemiExpanded-SemiBold,EncodeSans,EncodeSansExpanded-Regular,EncodeSansSemiCondensed-Regular,EncodeSansCondensed-Bold,EncodeSansCondensed-Medium,EncodeSansSemiCondensed-SemiBold,EncodeSansExpanded-Medium,EncodeSansExpanded-ExtraBold,EncodeSansSC,EncodeSansCondensed-Light,EncodeSansSemiExpanded-Light,EncodeSansSemiCondensed-ExtraLight,EncodeSansSemiCondensed-ExtraBold,EncodeSansSemiCondensed-Light,EncodeSansCondensed-ExtraBold,EncodeSansExpanded-Light,EncodeSansExpanded-Thin,EncodeSansExpanded-Bold,EncodeSansSemiExpanded-Regular,EncodeSansCondensed-ExtraLight,EncodeSansSemiExpanded-Medium"
Francois One,sans-serif,175,francois-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,FrancoisOne-Regular
Prata,serif,176,prata,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Prata-Regular
Figtree,sans-serif,177,figtree,"300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Figtree,Figtree-Italic"
Staatliches,display,178,staatliches,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Staatliches-Regular
Be Vietnam Pro,sans-serif,179,be-vietnam-pro,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"BeVietnamPro-SemiBold,BeVietnamPro-Light,BeVietnamPro-Regular,BeVietnamPro-Medium,BeVietnamPro-Bold,BeVietnamPro-BlackItalic,BeVietnamPro-Thin,BeVietnamPro-Italic,BeVietnamPro-ExtraLightItalic,BeVietnamPro-MediumItalic,BeVietnamPro-BoldItalic,BeVietnamPro-SemiBoldItalic,BeVietnamPro-ExtraLight,BeVietnamPro-ThinItalic,BeVietnamPro-ExtraBold,BeVietnamPro-ExtraBoldItalic,BeVietnamPro-Black,BeVietnamPro-LightItalic"
Sen,sans-serif,180,sen,"400,700,800",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Arsenal-Italic,PoetsenOne-Regular,Sen-Regular,Arsenal-Regular,Sen-ExtraBold,Arsenal-Bold,SendFlowers-Regular,Arsenal-BoldItalic,Quintessential-Regular,Sen-Bold"
Passion One,display,181,passion-one,"400,700,900",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"PassionOne-Regular,PassionOne-Bold,PassionOne-Black"
Noto Serif TC,serif,182,noto-serif-tc,"200,300,400,500,600,700,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,NotoSerifTC
Titan One,display,183,titan-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,TitanOne-Regular
Noto Sans Display,sans-serif,184,noto-sans-display,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NotoSansDisplay,NotoSansDisplay-Italic"
Michroma,sans-serif,185,michroma,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Michroma
Pathway Gothic One,sans-serif,186,pathway-gothic-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,PathwayGothicOne-Regular
Faustina,serif,187,faustina,"300,400,500,600,700,800","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Faustina,Faustina-Italic"
Kaushan Script,handwriting,188,kaushan-script,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,KaushanScript-Regular
Unna,serif,190,unna,"400,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Unna-Regular,Unna-Bold,Unna-BoldItalic,Unna-Italic"
Khand,sans-serif,191,khand,"300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"PatrickHandSC-Regular,PatrickHand-Regular,Khand-Medium,Shrikhand-Regular,Khand-Bold,Khand-Light,Khand-Regular,Khand-SemiBold"
Philosopher,sans-serif,193,philosopher,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Philosopher-Bold,Philosopher-Regular,Philosopher-BoldItalic,Philosopher-Italic"
Fira Sans Extra Condensed,sans-serif,194,fira-sans-extra-condensed,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"FiraSansExtraCondensed-MediumItalic,FiraSansExtraCondensed-Italic,FiraSansExtraCondensed-BlackItalic,FiraSansExtraCondensed-Light,FiraSansExtraCondensed-LightItalic,FiraSansExtraCondensed-BoldItalic,FiraSansExtraCondensed-ThinItalic,FiraSansExtraCondensed-ExtraLight,FiraSansExtraCondensed-Medium,FiraSansExtraCondensed-Thin,FiraSansExtraCondensed-Black,FiraSansExtraCondensed-Regular,FiraSansExtraCondensed-ExtraLightItalic,FiraSansExtraCondensed-SemiBoldItalic,FiraSansExtraCondensed-ExtraBold,FiraSansExtraCondensed-Bold,FiraSansExtraCondensed-ExtraBoldItalic,FiraSansExtraCondensed-SemiBold"
Bodoni Moda,serif,195,bodoni-moda,"400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"BodoniModa-Italic,BodoniModa"
Marcellus,serif,196,marcellus,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Marcellus-Regular,MarcellusSC-Regular"
Sawarabi Mincho,serif,197,sawarabi-mincho,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,SawarabiMincho-Regular
Yeseva One,display,198,yeseva-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,YesevaOne-Regular
Eczar,serif,199,eczar,"400,500,600,700,800",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Eczar
Cookie,handwriting,200,cookie,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Cookie-Regular
Plus Jakarta Sans,sans-serif,201,plus-jakarta-sans,"200,300,400,500,600,700,800","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"PlusJakartaSans,PlusJakartaSans-Italic"
Sacramento,handwriting,202,sacramento,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Sacramento-Regular
Antic Slab,serif,203,antic-slab,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,AnticSlab-Regular
Gruppo,display,204,gruppo,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Gruppo-Regular
Lexend Deca,sans-serif,205,lexend-deca,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,LexendDeca
Gloria Hallelujah,handwriting,206,gloria-hallelujah,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,GloriaHallelujah
Paytone One,sans-serif,207,paytone-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,PaytoneOne-Regular
News Cycle,sans-serif,208,news-cycle,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NewsCycle-Regular,NewsCycle-Bold"
Noto Serif KR,serif,209,noto-serif-kr,"200,300,400,500,600,700,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,NotoSerifKR
Gothic A1,sans-serif,210,gothic-a1,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"GothicA1-ExtraLight,GothicA1-Regular,GothicA1-Light,GothicA1-Thin,GothicA1-Bold,GothicA1-ExtraBold,GothicA1-Medium,GothicA1-Black,GothicA1-SemiBold"
Saira,sans-serif,211,saira,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"SairaExtraCondensed-Thin,SairaSemiCondensed-Black,SairaCondensed-SemiBold,SairaSemiCondensed-Medium,SairaSemiCondensed-Bold,SairaSemiCondensed-Thin,SairaExtraCondensed-Light,SairaExtraCondensed-Bold,SairaCondensed-Light,SairaExtraCondensed-Medium,SairaExtraCondensed-ExtraLight,SairaSemiCondensed-Regular,Saira,SairaSemiCondensed-ExtraBold,SairaSemiCondensed-ExtraLight,SairaCondensed-Medium,SairaSemiCondensed-SemiBold,SairaCondensed-Regular,SairaCondensed-Thin,SairaCondensed-Bold,SairaExtraCondensed-SemiBold,SairaExtraCondensed-Regular,SairaExtraCondensed-ExtraBold,SairaStencilOne-Regular,SairaExtraCondensed-Black,SairaCondensed-Black,Saira-Italic,SairaSemiCondensed-Light,SairaCondensed-ExtraLight,SairaCondensed-ExtraBold"
Macondo,display,212,macondo,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Macondo-Regular,MacondoSwashCaps-Regular"
Cantarell,sans-serif,213,cantarell,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Cantarell-Bold,Cantarell-BoldItalic,Cantarell-Regular,Cantarell-Italic"
Gelasio,serif,214,gelasio,"400,500,600,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Gelasio-SemiBold,Gelasio-Regular,Gelasio-MediumItalic,Gelasio-Bold,Gelasio-Italic,Gelasio-Medium,Gelasio-SemiBoldItalic,Gelasio-BoldItalic"
Yellowtail,handwriting,215,yellowtail,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Yellowtail-Regular
Press Start 2P,display,216,press-start-2p,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,PressStart2P-Regular
Chivo,sans-serif,217,chivo,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Chivo,ArchivoNarrow-Italic,ChivoMono-Italic,Archivo,ArchivoBlack-Regular,Chivo-Italic,ChivoMono,ArchivoNarrow,Archivo-Italic"
Patrick Hand,handwriting,218,patrick-hand,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"PatrickHandSC-Regular,PatrickHand-Regular"
Cousine,monospace,219,cousine,"400,700","['italic', 'normal']","technical, precise, retro, futuristic, minimal, structured",character5,"Cousine-BoldItalic,Cousine-Bold,Cousine-Italic,Cousine-Regular"
IBM Plex Sans Condensed,sans-serif,220,ibm-plex-sans-condensed,"100,200,300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"IBMPlexSansCondensed-MediumItalic,IBMPlexSansCondensed-Italic,IBMPlexSansCondensed-Bold,IBMPlexSansCondensed-Thin,IBMPlexSansCondensed-Light,IBMPlexSansCondensed-LightItalic,IBMPlexSansCondensed-ExtraLight,IBMPlexSansCondensed-ThinItalic,IBMPlexSansCondensed-BoldItalic,IBMPlexSansCondensed-SemiBoldItalic,IBMPlexSansCondensed-ExtraLightItalic,IBMPlexSansCondensed-Regular,IBMPlexSansCondensed-SemiBold,IBMPlexSansCondensed-Medium"
Quattrocento Sans,sans-serif,221,quattrocento-sans,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"QuattrocentoSans-Italic,QuattrocentoSans-Regular,QuattrocentoSans-BoldItalic,QuattrocentoSans-Bold"
Aleo,serif,222,aleo,"300,400,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Aleo-Bold,Aleo-BoldItalic,Aleo-Light,Aleo-LightItalic,Aleo-Regular,Aleo-Italic"
Creepster,display,223,creepster,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"Creepster-Regular,CreepsterCaps-Regular"
Luckiest Guy,display,224,luckiest-guy,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,LuckiestGuy-Regular
Concert One,display,225,concert-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,ConcertOne-Regular
Josefin Slab,serif,226,josefin-slab,"100,200,300,400,500,600,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"JosefinSlab,JosefinSlab-Italic"
Alice,serif,227,alice,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Alice-Regular
Bangers,display,228,bangers,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Bangers-Regular
Cuprum,sans-serif,229,cuprum,"400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Cuprum,Cuprum-Italic"
El Messiri,sans-serif,230,el-messiri,"400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,ElMessiri
Commissioner,sans-serif,231,commissioner,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,CommissionerFLARVOLMslnt
Sawarabi Gothic,sans-serif,232,sawarabi-gothic,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,SawarabiGothic-Regular
Advent Pro,sans-serif,233,advent-pro,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"AdventPro,AdventPro-Italic"
Carter One,display,234,carter-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,CarterOne
Quattrocento,serif,235,quattrocento,"400,700",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Quattrocento-Bold,QuattrocentoSans-Italic,QuattrocentoSans-Regular,QuattrocentoSans-BoldItalic,QuattrocentoSans-Bold,Quattrocento-Regular"
Handlee,handwriting,237,handlee,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Handlee-Regular
Padauk,sans-serif,238,padauk,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Padauk-Regular,Padauk-Bold"
Mukta Malar,sans-serif,239,mukta-malar,"200,300,400,500,600,700,800",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"MuktaMalar-SemiBold,MuktaMalar-Bold,MuktaMalar-Medium,MuktaMalar-ExtraBold,MuktaMalar-Regular,MuktaMalar-Light,MuktaMalar-ExtraLight"
Changa One,display,240,changa-one,400,"['italic', 'normal']","creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"ChangaOne-Regular,ChangaOne-Italic"
Mitr,sans-serif,241,mitr,"200,300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Mitr-Regular,Mitr-Bold,Mitr-Medium,Mitr-Light,Mitr-SemiBold,Mitr-ExtraLight"
Arsenal,sans-serif,242,arsenal,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Arsenal-Italic,Arsenal-Regular,Arsenal-Bold,Arsenal-BoldItalic"
Vidaloka,serif,243,vidaloka,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,Vidaloka-Regular
Encode Sans Condensed,sans-serif,244,encode-sans-condensed,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"EncodeSansCondensed-Regular,EncodeSansCondensed-SemiBold,EncodeSansCondensed-Thin,EncodeSansCondensed-Black,EncodeSansCondensed-Bold,EncodeSansCondensed-Medium,EncodeSansCondensed-Light,EncodeSansCondensed-ExtraBold,EncodeSansCondensed-ExtraLight"
Poiret One,display,245,poiret-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,PoiretOne-Regular
Special Elite,display,246,special-elite,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,SpecialElite-Regular
Neuton,serif,247,neuton,"200,300,400,700,800","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Neuton-Regular,Neuton-Bold,Neuton-ExtraLight,Neuton-Italic,Neuton-Light,Neuton-ExtraBold"
Noto Sans Thai,sans-serif,248,noto-sans-thai,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NotoSansThai,NotoSansThaiLooped-Light,NotoSansThaiLooped-SemiBold,NotoSansThaiLooped-ExtraBold,NotoSansThaiLooped-Medium,NotoSansThaiLooped-Regular,NotoSansThaiLooped-Black,NotoSansThaiLooped-ExtraLight,NotoSansThaiLooped-Thin,NotoSansThaiUI,NotoSansThaiLooped-Bold"
Crimson Pro,serif,249,crimson-pro,"200,300,400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"CrimsonPro-Italic,CrimsonPro"
Roboto Flex,sans-serif,250,roboto-flex,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,RobotoFlexGRADXOPQXTRAYOPQYTASYTDEYTFIYTLCYTUCslnt
Merienda,handwriting,251,merienda,"300,400,500,600,700,800,900",['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"MeriendaOne-Regular,Merienda"
Neucha,handwriting,252,neucha,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Neucha
Tenor Sans,sans-serif,253,tenor-sans,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,TenorSans-Regular
Bai Jamjuree,sans-serif,254,bai-jamjuree,"200,300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"BaiJamjuree-Italic,BaiJamjuree-Regular,BaiJamjuree-Light,BaiJamjuree-SemiBoldItalic,BaiJamjuree-MediumItalic,BaiJamjuree-LightItalic,BaiJamjuree-ExtraLightItalic,BaiJamjuree-Bold,BaiJamjuree-ExtraLight,BaiJamjuree-SemiBold,BaiJamjuree-BoldItalic,BaiJamjuree-Medium"
Ultra,serif,255,ultra,400,['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Inconsolata-UltraExpandedMedium,Inconsolata-UltraExpandedLight,Inconsolata-UltraCondensedBlack,Inconsolata-UltraCondensedSemiBold,Inconsolata-UltraCondensedRegular,StintUltraExpanded-Regular,Inconsolata-UltraExpandedExtraBold,Inconsolata-UltraExpandedExtraLight,StintUltraCondensed-Regular,Inconsolata-UltraCondensedBold,Inconsolata-UltraExpandedRegular,Inconsolata-UltraCondensed,Inconsolata-UltraExpanded,Inconsolata-UltraExpandedBold,Inconsolata-UltraExpandedSemiBold,Inconsolata-UltraCondensedExtraBold,Inconsolata-UltraCondensedExtraLight,Ultra-Regular,Martel-UltraLight,Inconsolata-UltraCondensedMedium,Inconsolata-UltraExpandedBlack,Inconsolata-UltraCondensedLight"
Taviraj,serif,256,taviraj,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Taviraj-Black,Taviraj-ExtraBoldItalic,Taviraj-Medium,Taviraj-BlackItalic,Taviraj-LightItalic,Taviraj-Thin,Taviraj-Bold,Taviraj-ExtraLightItalic,Taviraj-ExtraBold,Taviraj-BoldItalic,Taviraj-ThinItalic,Taviraj-ExtraLight,Taviraj-Regular,Taviraj-SemiBold,Taviraj-Italic,Taviraj-SemiBoldItalic,Taviraj-MediumItalic,Taviraj-Light"
Nanum Gothic Coding,monospace,257,nanum-gothic-coding,"400,700",['normal'],"technical, precise, retro, futuristic, minimal, structured",character5,"NanumGothicCoding-Regular,NanumGothicCoding-Bold"
Marck Script,handwriting,258,marck-script,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,MarckScript-Regular
Alegreya Sans SC,sans-serif,259,alegreya-sans-sc,"100,300,400,500,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"AlegreyaSansSC-BlackItalic,AlegreyaSansSC-ThinItalic,AlegreyaSansSC-BoldItalic,AlegreyaSansSC-Thin,AlegreyaSansSC-Regular,AlegreyaSansSC-Light,AlegreyaSansSC-Bold,AlegreyaSansSC-Italic,AlegreyaSansSC-LightItalic,AlegreyaSansSC-ExtraBoldItalic,AlegreyaSansSC-MediumItalic,AlegreyaSansSC-Medium,AlegreyaSansSC-Black,AlegreyaSansSC-ExtraBold"
Mr Dafoe,handwriting,260,mr-dafoe,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,MrDafoe-Regular
Playfair Display SC,serif,261,playfair-display-sc,"400,700,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"PlayfairDisplaySC-BoldItalic,PlayfairDisplaySC-Black,PlayfairDisplaySC-Italic,PlayfairDisplaySC-Regular,PlayfairDisplaySC-Bold,PlayfairDisplaySC-BlackItalic"
Tangerine,handwriting,262,tangerine,"400,700",['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,"Tangerine-Bold,Tangerine-Regular"
DM Serif Text,serif,263,dm-serif-text,400,"['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"DMSerifText-Regular,DMSerifText-Italic"
Mandali,sans-serif,264,mandali,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Mandali-Regular
Architects Daughter,handwriting,265,architects-daughter,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,ArchitectsDaughter-Regular
Volkhov,serif,266,volkhov,"400,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Volkhov-Italic,Volkhov-Bold,Volkhov-Regular,Volkhov-BoldItalic"
Abhaya Libre,serif,267,abhaya-libre,"400,500,600,700,800",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"AbhayaLibre-Bold,AbhayaLibre-Regular,AbhayaLibre-Medium,AbhayaLibre-ExtraBold,AbhayaLibre-SemiBold"
Unbounded,display,268,unbounded,"200,300,400,500,600,700,800,900",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Unbounded
Allura,handwriting,269,allura,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Allura-Regular
Laila,sans-serif,270,laila,"300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Laila-Medium,Laila-Light,Laila-SemiBold,Laila-Regular,Laila-Bold"
Fugaz One,display,271,fugaz-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,FugazOne-Regular
Viga,sans-serif,272,viga,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"AkayaTelivigala-Regular,Viga-Regular"
Itim,handwriting,273,itim,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Itim-Regular
Ropa Sans,sans-serif,274,ropa-sans,400,"['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RopaSans-Italic,RopaSans-Regular"
Sanchez,serif,275,sanchez,400,"['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Sanchez-Regular,Sanchez-Italic"
Hind Vadodara,sans-serif,276,hind-vadodara,"300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"HindVadodara-Light,HindVadodara-Bold,HindVadodara-Regular,HindVadodara-SemiBold,HindVadodara-Medium"
Gudea,sans-serif,277,gudea,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Gudea-Italic,Gudea-Regular,Gudea-Bold"
Stint Ultra Condensed,display,278,stint-ultra-condensed,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,StintUltraCondensed-Regular
Shrikhand,display,279,shrikhand,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Shrikhand-Regular
Actor,sans-serif,280,actor,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Actor-Regular
Amaranth,sans-serif,281,amaranth,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Amaranth-BoldItalic,Amaranth-Bold,Amaranth-Italic,Amaranth-Regular"
