family,Category,rating,id,weights,styles,connotations,character,available_fonts,fam_lower,year,description,keywords,designer
Abhaya Libre,serif,267,abhaya-libre,"400,500,600,700,800",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"AbhayaLibre-Bold,AbhayaLibre-Regular,AbhayaLibre-Medium,AbhayaLibre-ExtraBold,AbhayaLibre-SemiBold",abhayalibre,2015.0,"
Abhaya Libre is the unicode compliant, complete libre version of the most widely used Sinhala typeface ‘FM Abhaya’ and includes Sinhala and Latin support. 
Designed in 1996, ‘FM Abhaya’ is an interpretation of the Sinhala letterpress typefaces from 1960s.
The name ‘Abhaya’ is derived from the King Abhaya (474 BCE to 454 BCE) who reigned Sri Lanka from the ancient kingdom of Upatissa Nuwara. 


‘Abhaya Libre’ was completely redrawn from scratch based on FM Abhaya to comply with modern day usages in terms of web, tab and smaller sizes for smartphones. 
Available in 5 weights, Abhaya Libre enables designers to build sophisticated typographic layouts by using lighter weights for body text and heavier weights for headlines and subheadings. 
Each of these weights contains 925 glyphs that enables clean and precise rendering for Sinhala, Pali and Sanskrit texts. 
Compact ‘Da’ forms can be enabled by using stylistic sets. 
The Latin characters, that match the aesthetics of ‘Abhaya Libre Sinhala’, which was inspired by the style of the original Sinhala with an eminent contrast between distinctive strokes that go from thick to thin and was further modified to co-exist with the visual logics of Latin typefaces. 
The ductus references according to the lines of a Didone typeface add a touch of Sinhala form to certain terminations. 
Large counters have been added along with small ascenders and descenders for optimized screen viewing.


The project is led by Mooniak, a small type foundry based in Colombo, Sri Lanka, in collaboration with Pushpananda Ekanayake. 
The Latin part is designed by Sol Matas. 
Initial development and release was funded by Google Fonts in 2015. 
For more information and updates, or to report any bugs or suggestions, see github.com/mooniak/abhaya-libre-font

","{'smaller', 'enable', 'aesthetic', 'original', 'visual', 'modern', 'typographic', 'certain', 'stylistic', 'sophisticated', 'graphic', 'complete'}",['Mooniak']
Unbounded,display,268,unbounded,"200,300,400,500,600,700,800,900",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Unbounded,unbounded,2022.0,"
    Unbounded is possibly the first open source, freely available and on-chain funded font in the world, thanks to the
    Polkadot treasury.


    Unbounded by both name and nature, it is available in eight display weights ranging from Light to Black as a
    variable font. The typeface supports both Latin and Cyrillic scripts with over 1300 individual glyphs,
    including a collection of symbols and a unique figure building system. In addition the sizeable glyph set
    accommodates for hundreds of languages worldwide.


    Unbounded is the product of a joint collaboration between Studio Koto, NaN, Parity Technologies and Web3 Foundation
    for Polkadot Network.


    To contribute, please see github.com/googlefonts/unbounded.
","{'variable', 'individual', 'available'}",[nan]
Allura,handwriting,269,allura,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Allura-Regular,allura,2010.0,"
The casual characters of Allura are simple, clean and very legible. The script and formal sets offer a softer, more formal look.


Allura was designed with advertising, display and package design in mind. This OpenType Pro version of Allura combines all three styles along with extra alternate glyphs and flourished graphics to give designers maximum flexibility.


In this family come complete with Latin Character sets including Western, Central, and Vietnamese language support.

To contribute, see github.com/googlefonts/allura.
","{'casual', 'legible', 'formal', 'graphic', 'complete'}",['Robert Leuschke']
Laila,sans-serif,270,laila,"300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Laila-Medium,Laila-Light,Laila-SemiBold,Laila-Regular,Laila-Bold",laila,2014.0,"
Laila is an informal sans serif design with brush terminals. 
It has a very contemporary, 21st century appearance. 
Text set in Laila appears friendly, or even cute! 
Laila looks especially good in headlines. 
It is a display typeface, but it may also be used to set shorter passages of text, too.


Laila’s Latin component has a high x-height and open counter forms. 
In terms of the thickness of its strokes, everything is mostly monolinear.
The Devanagari component is even more fluid, appearing lively and graceful. 
The height is between the Latin x-height and capital height. 
The strokes thickness is a little lighter than in the Latin; 
in text blocks, texts set in each script will have similar color.


Hitesh Malaviya designed the Devanagari, and the Latin is by Jonny Pinhorn.
To contribute, see github.com/itfoundry/laila

","{'informal', 'similar', 'special', 'formal', 'contemporary', 'little'}",['Indian Type Foundry']
Fugaz One,display,271,fugaz-one,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,FugazOne-Regular,fugazone,2011.0,"Fugaz One is a sans serif with very geometric features and gestural characteristics, which brings it away from its formal beginnings. Combined with its italic inclination, Fugaz One has become a very dynamic font.","{'formal', 'dynamic', 'characteristic'}",['LatinoType']
Viga,sans-serif,272,viga,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"AkayaTelivigala-Regular,Viga-Regular",viga,2011.0,Viga is a sans serif with a good performance on screen. Its anatomy gives it a great personality and also makes it useful for reading on screen. ,"{'useful', 'personal'}",['Fontstage']
Itim,handwriting,273,itim,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Itim-Regular,itim,2014.0,"
Itim is a new Thai + Latin handwriting typeface, with an informal looped + semiserif design. 
It has 2 stylistic set alternate glyph designs and intelligent OpenType features to recreate the impression of handwriting.


Thanks to Pablo Impallari for the initial OpenType handwriting feature development.


The Itim project is led by Cadson Demak, a type foundry in Thailand. 
To contribute, see github.com/cadsondemak/itim

","{'informal', 'formal', 'stylistic', 'initial'}",['Cadson Demak']
Ropa Sans,sans-serif,274,ropa-sans,400,"['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RopaSans-Italic,RopaSans-Regular",ropasans,2013.0,"Ropa Sans is an open-source subset of the Ropa Sans Pro family. Ropa Sans Pro consists of 8 weights plus extra designed italics and small caps, with extensive coverage of Latin and essential coverage of Cyrillic and Greek scripts, and is available commercially from lettersoup.de.
This Open Font License version, Ropa Sans, consists of the regular weight and the corresponding italic, and covers Latin-based languages only.
While the upright styles pay a distant homage to the technical aesthetics of the early-20th century DIN series, the strongly humanistic italics breathe in quirky freshness and create a unique flavour. The step to a remarkable Italic with its extreme ink-traps caused a hard change of nearly all shapes of the first slices of Roman.","{'strong', 'upright', 'aesthetic', 'extensive', 'humanistic', 'regular', 'available', 'technical'}",['Botjo Nikoltchev']
Sanchez,serif,275,sanchez,400,"['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Sanchez-Regular,Sanchez-Italic",sanchez,2012.0,"Sanchez is a slab serif typeface family from Chilean type foundry 
LatinoType.",set(),['Daniel Hernandez']
Hind Vadodara,sans-serif,276,hind-vadodara,"300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"HindVadodara-Light,HindVadodara-Bold,HindVadodara-Regular,HindVadodara-SemiBold,HindVadodara-Medium",hindvadodara,2015.0,"
Hind Vadodara is a family of five Gujarati fonts, which are part of the Indian Type Foundry’s larger Open Source Hind Multi-Script project. 
Hind Multi-Script is a type system providing nine stylistically-matching font families – one for each of the following writing systems used in Bangladesh, India, Nepal, and Sri Lanka: Bengali, Devanagari, Gujarati, Gurmukhi, Kannada, Malayalam, Tamil, Telugu, and Sinhala. 
In addition to Gujarati, the Hind Vadodara fonts also include Latin-script characters.


Developed explicitly for use in User Interface design, Hind’s letterforms have a humanist-style construction, paired with seemingly monolinear strokes. 
Most of these strokes have flat endings: they either terminate with a horizontal or a vertical shear, rather than on a diagonal. 
This helps create clear-cut counter forms between the characters. 
Additionally, Hind’s letterforms feature open apertures and counterforms. 
The entire family feels very legible when used to set text.


The Gujarati and Latin script components are scaled in relation to each other so that the height of the Gujarati base characters is more or less at the same visual height that the Latin capital letters share. 
The exact height of the Gujarati characters increases vis à vis the capital height as the family increases in weight, just as the Latin lowercase does. 
Each font in the Hind Vadodara family has 851 glyphs, which include many unique Gujarati conjuncts. 
These ensure full support for the writing of the Gujarati language. 
The Latin component’s character set is Adobe Latin 3, which enables typesetting in English and the other Western European languages. 


Hind Vadodara is a solid alternate when choosing typefaces for UI design, and a wise selection for electronic display embedding. 
Hitesh Malaviya designed Hind Vadodara for ITF, who first published the fonts in 2015. 
Hind Vadodara is named after Vadodara, a city in Gujarat, India.


The Hind Vadodara project is led by Indian Type Foundry, a type design foundry based in Ahmedabad, India. 
To contribute, see github.com/itfoundry/hind-vadodara

","{'vertical', 'enable', 'visual', 'entire', 'legible', 'larger', 'stylistic', 'electronic'}",['Indian Type Foundry']
Gudea,sans-serif,277,gudea,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Gudea-Italic,Gudea-Regular,Gudea-Bold",gudea,2012.0,"Gudea is a readable, clear and functional typeface family, with a simple and condensed structure that brings a pleasant feeling when used at any size. Inspired by engineering documentation, it expresses the technical feeling of graphic information enjoyed by those who are interested in areas such as engineering, land surveying and architecture. Initially this type was developed for use in labels and maps, but it is now a versatile family that seamlessly suits any piece of design.","{'functional', 'technical', 'graphic', 'readable'}",['Agustina Mingote']
Stint Ultra Condensed,display,278,stint-ultra-condensed,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,StintUltraCondensed-Regular,stintultracondensed,2011.0,"Stint Ultra Condensed is an ultra condensed square serif typestyle developed based on the letterforms of the Syncopate Family. While Syncopate boasts extra wide unicase forms, Stint Ultra Condensed goes in the exact opposite direction, featuring narrow letterforms of both the capital and lowercase varieties. This is the opposite of the Stint Ultra Expanded typestyle. Highly legible even in this ultra condensed form, Stint Ultra Condensed is a perfect font for getting in as much information as possible into limited realty websites and designs.","{'possible', 'limited', 'legible'}",['Astigmatic']
Shrikhand,display,279,shrikhand,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Shrikhand-Regular,shrikhand,2015.0,"
Shrikhand supports the Gujarati and Latin writing systems. 
The name (શ્રીખંડ) is a sweet and creamy Gujarati dessert that is a particular favourite of the designer, Jonny Pinhorn.


In the three or four years prior to the initial development of this font in June 2015, Jonny lived in Ahmedabad, Gujarat, working for Indian Type Foundry. 
During this time India had a profound effect on his design philosophy and general worldview. 
Shrikhand is the culmination of three years absorbing the colourful and vibrant hand-painted lettering that can be seen on the streets in Gujarat. 
Big, bold, and unapologetic, Shrikhand is a display type that evolved from discussions with colleagues about how good the Gujarati script looks when it is free to be as curvaceous and expressive as possible.


To contribute, see github.com/jonpinhorn/shrikhand
","{'particular', 'initial', 'expressive', 'possible', 'general'}",['Jonny Pinhorn']
Actor,sans-serif,280,actor,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Actor-Regular,actor,2011.0,"A diploma thesis project from the Aachen University of Applied Sciences at Karl-Friedrich (Kai) Oetzbach. The font originated in a course in type design. The idea was to learn through the creation of a typeface about writing as an information carrier. It was created entirely digitally, so the path to the current version is very rocky and winding. Actor has a strong x-height, which is why it always requires a fairly high line spacing. The digits of Actor are created as old style figures. The forms of 6 and 9 are more dynamic and more tense than usual. The 8 has significantly shifted interiors and the 7 is slightly curved to the left.","{'strong', 'dynamic', 'entire'}",['Thomas Junold']
Amaranth,sans-serif,281,amaranth,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Amaranth-BoldItalic,Amaranth-Bold,Amaranth-Italic,Amaranth-Regular",amaranth,2016.0,The Amaranth family is a friendly upright italic design with a slight contrast and distinctive curves. With its three new styles Amaranth is healthy for all your texts too!,{'upright'},['Gesine Todt']
Noto Serif Bengali,serif,282,noto-serif-bengali,"100,200,300,400,500,600,700,800,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,NotoSerifBengali,notoserifbengali,2022.0,"
  Noto is a global font collection for writing in all modern and ancient
  languages. Noto Serif Bengali is a modulated (“serif”) design for texts in the
  Indic Bangla (Bengali) script. It has multiple weights and widths,
  and 640 glyphs.

","{'global', 'modern'}",['Google']
Ruda,sans-serif,283,ruda,"400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Ruda,ruda,2019.0,"Ruda is a sans serif typeface originally developed for a specific context of use, product labels. Designed by Mariela Monsalve and Angelina Sanchez, Ruda features a very large x-height, low cap-height and open forms.
In Febraury 2020, the family has been upgraded to a variable font.
To contribute, see github.com/marmonsalve/Ruda-new.
Ruda is a collaboration between marie monsalve and Angelina Saanchez.
","{'variable', 'upgraded', 'original', 'specific'}","['Mariela Monsalve', 'Angelina Sanchez']"
Parisienne,handwriting,284,parisienne,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Parisienne-Regular,parisienne,2012.0,"Parisienne is a casual connecting script inspired by a 1960s Bra advertisement! It has a slight bounce and intentional irregularity to what might other wise appear to be a more formal script font. Classic, yet free spirited, it is a typestyle for a wide variety of use.","{'formal', 'casual', 'regular'}",['Astigmatic']
Noto Serif SC,serif,285,noto-serif-sc,"200,300,400,500,600,700,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,NotoSerifSC,notoserifsc,2022.0,"
  Noto is a global font collection for writing in all modern and ancient
  languages. Noto Serif SC is a modulated (“serif”) design for languages in
  mainland China that use the Simplified Chinese variant of the Han
  ideograms. It also supports
  Hiragana, Katakana, Latin, Cyrillic, Greek and Hangul. It
  has multiple weights.

","{'global', 'modern'}",['Google']
Kosugi Maru,sans-serif,286,kosugi-maru,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,KosugiMaru-Regular,kosugimaru,2010.0,"
  Kosugi Maru is a Gothic Rounded design, with low stroke contrast and monospaced metrics, and rounded terminals. Initially developed by MOTOYA and released for the Android platform under the Apache license, the typeface is based on a design from the 1950s. It aims for beauty and readability, and evokes the Japanese cedar trees that have straight and thick trunks and branches. Originally available as ""MotoyaLMaru W3 mono"", it is now available under the name Kosugi Maru. A regular gothic version is available as Kosugi.

","{'gothic', 'regular', 'available'}",['MOTOYA']
Rubik Mono One,sans-serif,287,rubik-mono-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,RubikMonoOne-Regular,rubikmonoone,2015.0,"
Rubik is a sans serif font family with slightly rounded corners designed by Philipp Hubert and Sebastian Fischer at Hubert & Fischer as part of the Chrome Cube Lab project.


Rubik Mono One is a monospaced sister of the Black roman style in the Rubik family, which has 5 weights. 

",set(),['Hubert and Fischer']
Hammersmith One,sans-serif,288,hammersmith-one,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,HammersmithOne-Regular,hammersmithone,2011.0,"Foundry: Sorkin Type Co
Hammersmith One is a very low contrast typeface inspired by the Johnston UK
lettering tradition. Hammersmith One shows the quirks of a somewhat naive,
handmade, brush written letters including a wider than normal ""e"" and ""s"" as
well as dark joins between stroke which are normally compensated for in type.
The sources for this design have been adapted not just for type but
specifically for use as a web type. This font works well to even smaller sizes
than was originally expected.
Source files are available from Google Code.
To contribute to the project contact Eben Sorkin.
","{'smaller', 'original', 'specific', 'normal', 'available'}",['Nicole Fally']
Saira Semi Condensed,sans-serif,289,saira-semi-condensed,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"SairaSemiCondensed-Black,SairaSemiCondensed-Medium,SairaSemiCondensed-Bold,SairaSemiCondensed-Thin,SairaSemiCondensed-Regular,SairaSemiCondensed-ExtraBold,SairaSemiCondensed-ExtraLight,SairaSemiCondensed-SemiBold,SairaSemiCondensed-Light",sairasemicondensed,2016.0,"
Saira is a sans serif system.
It features a huge range of weights and widths, ready for all kind of typographic challenges.


This is the Semi Condensed family, which is part of the superfamily along with
Normal,
Condensed, and
Extra Condensed,
each with 9 weights.


This typeface was designed by Hector Gatti and developed by the Omnibus Type team.
To contribute to the project, visit github.com/Omnibus-Type

","{'typographic', 'graphic'}",['Omnibus-Type']
Roboto Serif,serif,290,roboto-serif,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"RobotoSerif-ItalicGRAD,RobotoSerifGRAD",robotoserif,2020.0,"
    Roboto Serif is a variable typeface family designed to create a comfortable and frictionless reading experience. Minimal and highly functional, it is useful anywhere (even for app interfaces) due to the extensive set of weights and widths across a broad
    range of optical sizes. While it was carefully crafted to work well in digital media, across the full scope of sizes and resolutions we have today, it is just as comfortable to read and work in print media.


    To contribute, see github.com/googlefonts/roboto-serif.


    To learn more, read Say Hello to Roboto Serif.
","{'functional', 'useful', 'comfortable', 'optical', 'variable', 'extensive'}","['Commercial Type', 'Greg Gazdowicz']"
Libre Caslon Text,serif,291,libre-caslon-text,"400,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"LibreCaslonText,LibreCaslonText-Italic",librecaslontext,2020.0,"
  Libre Caslon Text is optimized for web body text (typically set at 16px), whilst the companion family
  Libre Caslon Display is optimized for web headlines.


  Libre Caslon Text was specifically tailored to be used for web body text (typically set at 16px). It can be used at very small sizes and will still be readable on your website.


  Another big difference is that pretty much all other digital Caslons revivals are based on 18th Century specimens by William Caslon I and William Caslon II. Libre Caslon, instead, is based on hand lettering artist Caslon interpretations typical of 1950s advertising.


  This font was upgraded in early 2020 and is now available as a variable font.


  To contribute, see github.com/thundernixon/Libre-Caslon

","{'upgraded', 'specific', 'typical', 'available', 'variable', 'readable'}",['Pablo Impallari']
Mada,sans-serif,292,mada,"200,300,400,500,600,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Mada-Regular,Mada-ExtraLight,Mada-Black,Mada-SemiBold,Mada-Medium,Mada-Bold,Mada-Light",mada,2016.0,"
Mada is a modernist, unmodulted Arabic typeface inspired by road signage seen around Cairo, Egypt, by Khaled Hosny. 
The Arabic component is characterized by low descenders, open contours, and low contrast forms, making it suitable for signage, small point sizes, and user interfaces. 
However Mada can work also as a display typeface, with a modernist and simplistic feeling.
The Latin component is a slightly modified version of Source Sans Pro, led by Paul Hunt at Adobe Type. 


To contribute, see github.com/khaledhosny/mada
","{'modern', 'suitable'}","['Khaled Hosny', 'Paul D. Hunt']"
Audiowide,display,293,audiowide,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Audiowide-Regular,audiowide,2012.0,"Audiowide is a sans serif, technology styled, typeface composed of soft
corner tubular forms. With vague nods to letter styles like that of Handel
Gothic and the Converse logo, Audiowide veers off in a direction of its own for
a slightly more techno-futuristic and yet cleanly readable typestyle.
Designed by Brian J. Bonislawsky for Astigmatic (AOETI). Audiowide is a
Unicode typeface family that supports languages that use the Latin script and
its variants, and could be expanded to support other scripts. To contribute to
the project contact
Brian J. Bonislawsky.
","{'futuristic', 'readable'}",['Astigmatic']
Niramit,sans-serif,294,niramit,"200,300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Niramit-Medium,Niramit-Bold,Niramit-LightItalic,Niramit-SemiBold,Niramit-ExtraLight,Niramit-Light,Niramit-BoldItalic,Niramit-MediumItalic,Niramit-Regular,Niramit-ExtraLightItalic,Niramit-Italic,Niramit-SemiBoldItalic",niramit,2018.0,Niramit is a Thai and Latin family featuring decorative details. The Thai has a modern structure but also features the traditional looped letterforms.,"{'traditional', 'modern'}",['Cadson Demak']
Red Hat Text,sans-serif,295,red-hat-text,"300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RedHatText,RedHatText-Italic",redhattext,2021.0,"Red Hat is a family of typefaces produced in 2 optical sizes and a monospace style, in a range of weights with italics. The fonts were originally commissioned by Paula Scher, Pentagram and designed by Jeremy Mickel, MCKL for the new Red Hat identity.
Red Hat is a fresh take on the geometric sans genre, taking inspiration from a range of American sans serifs including Tempo and Highway Gothic. The Display styles are low contrast and spaced tightly, with a large x-height and open counters. The Text styles have a slightly smaller x-height and narrower width for better legibility, are spaced more generously, and have thinned joins for better performance at small sizes. The two families can be used together seamlessly at a range of sizes.
The family has been upgraded to variable fonts with a weight axis (Light to Bold) in June 2021.
To contribute, see github.com/RedHatOfficial/RedHatFont
","{'smaller', 'original', 'upgraded', 'generous', 'optical', 'variable'}",['MCKL']
Literata,serif,296,literata,"200,300,400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Literata-Italic,Literata",literata,2017.0,"
Literata is designed by TypeTogether. It was commisioned for Google Play Books.


Two versions of the family exist, one for print and the other for Ebooks. This is the print version of the family.
",set(),['TypeTogether']
Istok Web,sans-serif,297,istok-web,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"IstokWeb-Italic,IstokWeb-BoldItalic,IstokWeb-Bold,IstokWeb-Regular",istokweb,2014.0,"Istok Web is an original typeface, in development since 2008. At first some
basic letters were based on specially modified METAFONT sources from the CM
Bright font family from the TeX community. (METAFONT is very flexible
technology.) But in fact Istok fonts are now very far from this origin.
Contours of the font are designed in the freely distributable font editor, 
FontForge.
Most glyphs are manually hinted with the aim to be rendered on LCD
displays. I used xgridfit as a
tool for programming truetype instructions. Less frequently utilized symbols
have automatic instructions produced by FontForge autohinting, until manual
hinting can be done. Manual and automatic instructions are intended to look
homogeneous.
The original sources and truetype fonts are available at 
code.google.com/p/istok and 
this 'Web' version has modified vertical metrics.
Updated: June 2014 to version 1.0.2g","{'vertical', 'original', 'special', 'available'}",['Andrey V. Panov']
Quantico,sans-serif,298,quantico,"400,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Quantico-Bold,Quantico-BoldItalic,Quantico-Regular,Quantico-Italic",quantico,2011.0,Quantico is an angular typeface family that was inspired by old beer packaging and military lettering. It utilizes 30 degree angles and completely straight lines to form unique character shapes. Documentation can be found at www.madtype.com and to contribute to the project contact Matthew Desmond at mattdesmond@gmail.com,{'complete'},['MADType']
Fira Mono,monospace,299,fira-mono,"400,500,700",['normal'],"technical, precise, retro, futuristic, minimal, structured",character5,"FiraMono-Medium,FiraMono-Regular,FiraMono-Bold",firamono,2015.0,"Designed to integrate with the character of the FirefoxOS, the Fira typefaces also aim to cover the legibility needs for a large range of handsets varying in screen quality and rendering.
The Fira font family comes in a Sans Serif with 4 weights (Light, Regular, Medium and Bold) all accompanied by italic styles. The package also includes this Mono Spaced variant with 3 weights (Regular, Medium, Bold.)
See the Mozilla FirefoxOS Style Guide for more details.",set(),['Carrois Apostrophe']
Allerta Stencil,sans-serif,300,allerta-stencil,400,['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,AllertaStencil-Regular,allertastencil,2009.0,Allerta is an open source typeface designed for use in signage. Allerta  was designed to be easily and quickly read from a distance. Each letter exploits the most unique aspects of that individual letter so that each character can be easily distinguished from any other. Initially published at matt.cc/allerta.,{'individual'},['Matt McInerney']
Blinker,sans-serif,301,blinker,"100,200,300,400,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Blinker-SemiBold,Blinker-Black,Blinker-Regular,Blinker-Light,Blinker-Bold,Blinker-ExtraBold,Blinker-Thin,Blinker-ExtraLight",blinker,2019.0,"
Blinker is a low contrast sans serif typeface with a squircle as its basic shape, think squarish curves, or Eurostyle’s flamboyant cousin. It’s best used for medium to large text, rather than a long copy. To do its claim justice Blinker also comes with a headline weight with an extra large x-height, tight spacing, and glyphs drawn more narrowly. Blink!


The original 9 weights with a latin extended glyph set were designed by supertype’s Jürgen Huber in 2019.
To contribute, see github.com/supertype-de/Blinker

",{'original'},['Juergen Huber']
Oleo Script,display,302,oleo-script,"400,700",['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,"OleoScript-Bold,OleoScriptSwashCaps-Bold,OleoScript-Regular,OleoScriptSwashCaps-Regular",oleoscript,2012.0,"Oleo is a flowy yet legible non-connected script typeface. 
It is perfect for situations where a quaint and casual lettering 
effect is desired. Suitable for various typography contexts 
including captions, headlines, packaging, invitations, cards, 
posters, advertising, greeting cards, and book jackets.
Oleo Script is currently available in two weights, Regular 
and Bold. It has also a 
Swash Caps
sister family, also available in Regular and Bold.
Oleo Script is a Unicode typeface 
family that supports languages that use the Latin script and 
its variants, and could be expanded to support other scripts. 
For more information see the 
Soytutype website, 
follow us on Twitter @soytutype 
or Google+ 
or contact Soytutype.
","{'casual', 'various', 'legible', 'available'}",['soytutype fonts']
Playball,display,303,playball,400,['normal'],"creative, eye-catching, decorative, bold, playful, attention-grabbing, unique, expressive",character2,Playball-Regular,playball,2011.0,"
An athletic look was the inspiration for Playball. Take advantage of the sweeping swashes to give a true sports look. Perfect for baseball banners and the like.


Playball comes with Latin Character sets including Western, Central, and Vietnamese language support.


To contribute, see github.com/googlefonts/play-ball.

",set(),['Robert Leuschke']
Monda,sans-serif,304,monda,"400,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Monda-Regular,Monda-Bold",monda,2021.0,"
The Monda font family is a libre font family. 
It has been designed to be used freely across the internet by web browsers on desktop computers, laptops and mobile devices.


Monda language support includes now African Latin and full coverage of Vietnamese, additional to all Western, Central, and South-Eastern European languages.


To contribute see github.com/googlefonts/mondaFont.

",{'additional'},['Vernon Adams']
Sriracha,handwriting,305,sriracha,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,Sriracha-Regular,sriracha,2014.0,"
Sriracha is a new Thai + Latin handwriting typeface, with an informal loopless + sans serif design. 
It has 2 stylistic set alternate glyph designs and intelligent OpenType features to recreate the impression of handwriting.


Thanks to Pablo Impallari for the initial OpenType handwriting feature development.


The Sriracha project is led by Cadson Demak, a type foundry in Thailand. 
To contribute, see github.com/cadsondemak/sriracha
","{'informal', 'formal', 'stylistic', 'initial'}",['Cadson Demak']
Homemade Apple,handwriting,306,homemade-apple,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,HomemadeApple-Regular,homemadeapple,2010.0,"
Nothing says down-home goodness like a delicious Homemade Apple pie.
For a good one, you have to make it yourself. 
Should you find yourself lacking in the recipe department, use this beautifully drawn cursive handwriting script font to give a personal touch.

",{'personal'},['Font Diner']
Alex Brush,handwriting,307,alex-brush,400,['normal'],"personal, friendly, whimsical, casual, expressive, elegance, romantic, feminine",character4,AlexBrush-Regular,alexbrush,2011.0,"
Alex Brush is a beautifully flowing brush script. It has short ascenders and descenders allowing a legibility not seen in other script fonts.


It comes with Latin Character sets including Western, Central, and Vietnamese language support.


To contribute, see github.com/googlefonts/alex-brush.

",set(),['Robert Leuschke']
Readex Pro,sans-serif,308,readex-pro,"200,300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,ReadexProHEXP,readexpro,2019.0,"
Readex Pro is the world-script expansion of the Lexend fonts. Readex Pro is designed by Thomas Jockin and Nadine Chahine and currently supports Latin and Arabic.


Lexend is a family of variable fonts designed by Bonnie Shaver-Troup, Thomas Jockin and Font Bureau. Applying the Shaver-Troup Individually Optimal Text Formation Factors, studies have found readers instantaneously improve their reading fluency.


    A Hyper Expansion axis was added to the family in October 2022. This axis increases inner and outter space of glyphs to adjust better to reader's individual comfort.


The fonts are based on the Quicksand project from Andrew Paglinawan. To contribute, see github.com/ThomasJockin/readexpro.

","{'variable', 'individual'}","['Thomas Jockin', 'Nadine Chahine', 'Bonnie Shaver-Troup', 'Santiago Orozco', 'Héctor Gómez']"
